epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,45177.3,0.64107,0.37985,0.96735,0.91936,0.84824,0.91436,0.73561,0.75978,0.45255,1.02948,0.000319079,0.000319079,0.000319079
74,45798.2,0.63712,0.37806,0.96644,0.92285,0.84662,0.91823,0.73625,0.76115,0.45567,1.02874,0.00030808,0.00030808,0.00030808
75,46417.7,0.6401,0.37889,0.96374,0.94344,0.86853,0.93028,0.74714,0.76967,0.44028,1.03353,0.000297081,0.000297081,0.000297081
76,47040.1,0.62532,0.36699,0.96155,0.92977,0.88908,0.93523,0.7495,0.77449,0.4348,1.04555,0.000286083,0.000286083,0.000286083
77,47659.8,0.63274,0.37158,0.96077,0.93375,0.86716,0.92968,0.74275,0.75988,0.43715,1.02508,0.000275084,0.000275084,0.000275084
78,48279,0.62484,0.36799,0.95615,0.90546,0.90861,0.94508,0.75811,0.75607,0.43087,1.01904,0.000264085,0.000264085,0.000264085
79,48898.7,0.61873,0.3642,0.95545,0.90421,0.89905,0.93849,0.75391,0.75416,0.42527,1.02663,0.000253086,0.000253086,0.000253086
80,49520.5,0.61125,0.35956,0.95375,0.9145,0.88652,0.93165,0.74955,0.7528,0.42475,1.02157,0.000242087,0.000242087,0.000242087
81,50143.5,0.6106,0.35515,0.9472,0.91693,0.87142,0.93626,0.75391,0.75538,0.43784,1.0245,0.000231088,0.000231088,0.000231088
82,50763.1,0.60833,0.35533,0.95822,0.91482,0.87726,0.93565,0.75431,0.74737,0.42507,1.0193,0.000220089,0.000220089,0.000220089
83,51385,0.61368,0.35734,0.9532,0.91374,0.89116,0.93283,0.75469,0.74994,0.4237,1.02577,0.00020909,0.00020909,0.00020909
84,52007.3,0.60355,0.35463,0.9524,0.91024,0.8804,0.92992,0.75399,0.74811,0.42743,1.02024,0.000198091,0.000198091,0.000198091
85,52626.1,0.59754,0.34144,0.94492,0.89599,0.91632,0.93783,0.75659,0.74287,0.41601,1.01636,0.000187092,0.000187092,0.000187092
86,53232.4,0.60565,0.348,0.94882,0.90711,0.90925,0.93468,0.76055,0.74524,0.42526,1.01609,0.000176094,0.000176094,0.000176094
87,53815.3,0.59628,0.34453,0.94875,0.94297,0.8724,0.93285,0.75914,0.74342,0.42304,1.01585,0.000165095,0.000165095,0.000165095
88,54402.5,0.59996,0.34708,0.94403,0.92234,0.88331,0.93736,0.76117,0.74184,0.41533,1.01498,0.000154096,0.000154096,0.000154096
89,54992.9,0.58935,0.34455,0.94522,0.89609,0.90118,0.93292,0.75356,0.74099,0.42607,1.01781,0.000143097,0.000143097,0.000143097
90,55579.2,0.59466,0.34612,0.95223,0.91457,0.89093,0.92909,0.74998,0.73833,0.42474,1.01473,0.000132098,0.000132098,0.000132098
91,56158.9,0.57763,0.30635,0.93018,0.92024,0.86322,0.92257,0.74527,0.74955,0.43444,1.02662,0.000121099,0.000121099,0.000121099
92,56748.5,0.56845,0.29874,0.92445,0.94836,0.86921,0.94149,0.76504,0.73792,0.41854,1.01574,0.0001101,0.0001101,0.0001101
93,57363.4,0.56619,0.29682,0.9197,0.95392,0.86361,0.93861,0.76654,0.73195,0.41296,1.00725,9.91012e-05,9.91012e-05,9.91012e-05
94,57976.4,0.56105,0.2946,0.91726,0.91182,0.90393,0.9416,0.76664,0.73503,0.40972,1.01327,8.81023e-05,8.81023e-05,8.81023e-05
95,58592.7,0.55667,0.29001,0.91514,0.91619,0.8868,0.9418,0.76692,0.73856,0.40986,1.01139,7.71034e-05,7.71034e-05,7.71034e-05
96,59206.6,0.56047,0.29298,0.92114,0.92832,0.88614,0.94145,0.76804,0.73259,0.40733,1.00621,6.61045e-05,6.61045e-05,6.61045e-05
97,59819.4,0.55331,0.2881,0.91565,0.91796,0.89509,0.94085,0.76808,0.7314,0.4103,1.00599,5.51056e-05,5.51056e-05,5.51056e-05
98,60433.5,0.55342,0.28685,0.91894,0.95214,0.86675,0.94392,0.77045,0.73226,0.40672,1.00626,4.41067e-05,4.41067e-05,4.41067e-05
99,61045.4,0.5473,0.28398,0.91176,0.96299,0.85969,0.94337,0.76819,0.73167,0.40227,1.0075,3.31078e-05,3.31078e-05,3.31078e-05
100,61659.6,0.5455,0.28297,0.91134,0.95876,0.8604,0.94414,0.76931,0.72788,0.40311,1.00527,2.21089e-05,2.21089e-05,2.21089e-05
