epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,195.985,0.69121,0.89495,1.04382,0.94403,0.39256,0.42214,0.29938,1.76159,2.40602,1.52892,2.99066e-05,2.99066e-05,2.99066e-05
56,199.237,1.17353,1.64365,1.57435,0.94403,0.39256,0.42214,0.29938,1.76159,2.40602,1.52892,2.98125e-05,2.98125e-05,2.98125e-05
57,202.969,1.03626,1.43286,1.36128,0.94657,0.38998,0.42217,0.29388,1.77405,2.4467,1.5453,2.96948e-05,2.96948e-05,2.96948e-05
58,206.137,0.82798,1.3765,1.2705,0.94657,0.38998,0.42217,0.29388,1.77405,2.4467,1.5453,2.95535e-05,2.95535e-05,2.95535e-05
59,208.929,0.75556,0.73276,1.16584,0.94657,0.38998,0.42217,0.29388,1.77405,2.4467,1.5453,2.93887e-05,2.93887e-05,2.93887e-05
60,211.799,0.96007,0.80151,1.49753,0.94548,0.39027,0.42482,0.27485,1.78321,2.42899,1.54029,2.92003e-05,2.92003e-05,2.92003e-05
61,214.861,0.60321,0.69348,1.06491,0.94548,0.39027,0.42482,0.27485,1.78321,2.42899,1.54029,2.89884e-05,2.89884e-05,2.89884e-05
62,218.273,0.70558,0.87297,1.05508,0.94548,0.39027,0.42482,0.27485,1.78321,2.42899,1.54029,2.87529e-05,2.87529e-05,2.87529e-05
63,221.346,0.74947,0.81337,1.14682,0.94629,0.39073,0.42484,0.27396,1.82433,2.47307,1.59436,2.84938e-05,2.84938e-05,2.84938e-05
64,224.366,0.66131,0.6916,1.0837,0.94629,0.39073,0.42484,0.27396,1.82433,2.47307,1.59436,2.82112e-05,2.82112e-05,2.82112e-05
65,227.887,0.58705,0.8333,1.1824,0.94629,0.39073,0.42484,0.27396,1.82433,2.47307,1.59436,2.7905e-05,2.7905e-05,2.7905e-05
66,230.833,0.63763,0.90341,1.08566,0.94565,0.39047,0.42168,0.30777,1.83933,2.51122,1.60756,2.75753e-05,2.75753e-05,2.75753e-05
67,233.558,0.69296,1.03683,1.07201,0.94565,0.39047,0.42168,0.30777,1.83933,2.51122,1.60756,2.7222e-05,2.7222e-05,2.7222e-05
68,236.006,0.93948,1.7309,1.34312,0.94565,0.39047,0.42168,0.30777,1.83933,2.51122,1.60756,2.68451e-05,2.68451e-05,2.68451e-05
69,238.663,0.62435,0.98997,1.1325,0.94555,0.39162,0.42131,0.29256,1.85239,2.50977,1.60465,2.64447e-05,2.64447e-05,2.64447e-05
70,241.399,0.87992,0.87174,1.36052,0.94555,0.39162,0.42131,0.29256,1.85239,2.50977,1.60465,2.60207e-05,2.60207e-05,2.60207e-05
71,243.973,1.00179,1.29506,1.37824,0.94555,0.39162,0.42131,0.29256,1.85239,2.50977,1.60465,2.55731e-05,2.55731e-05,2.55731e-05
72,246.555,0.58387,0.60401,1.04537,0.94726,0.38994,0.42131,0.29252,1.87434,2.56126,1.62834,2.5102e-05,2.5102e-05,2.5102e-05
73,249.357,0.66777,0.87634,1.05316,0.94726,0.38994,0.42131,0.29252,1.87434,2.56126,1.62834,2.46073e-05,2.46073e-05,2.46073e-05
74,251.993,0.66015,0.69125,1.16107,0.94726,0.38994,0.42131,0.29252,1.87434,2.56126,1.62834,2.40891e-05,2.40891e-05,2.40891e-05
75,255.304,0.68908,0.56779,1.12395,0.94657,0.39008,0.42186,0.29268,1.84806,2.52688,1.5867,2.35472e-05,2.35472e-05,2.35472e-05
76,258.424,0.58091,0.84134,1.10143,0.94657,0.39008,0.42186,0.29268,1.84806,2.52688,1.5867,2.29819e-05,2.29819e-05,2.29819e-05
77,261.502,0.61623,0.58838,1.07474,0.94657,0.39008,0.42186,0.29268,1.84806,2.52688,1.5867,2.23929e-05,2.23929e-05,2.23929e-05
78,264.41,0.79063,1.09071,1.1391,0.94581,0.391,0.42141,0.29324,1.81576,2.46518,1.52913,2.17805e-05,2.17805e-05,2.17805e-05
79,267.501,0.58188,0.72232,1.09836,0.94581,0.391,0.42141,0.29324,1.81576,2.46518,1.52913,2.11444e-05,2.11444e-05,2.11444e-05
80,270.303,0.64355,0.78499,1.10605,0.94581,0.391,0.42141,0.29324,1.81576,2.46518,1.52913,2.04848e-05,2.04848e-05,2.04848e-05
81,273.577,0.50909,0.46411,0.98637,0.94019,0.389,0.423,0.29454,1.82345,2.46131,1.53654,1.98016e-05,1.98016e-05,1.98016e-05
82,276.527,0.75113,0.69519,1.15457,0.94019,0.389,0.423,0.29454,1.82345,2.46131,1.53654,1.90949e-05,1.90949e-05,1.90949e-05
83,279.313,0.80211,0.77747,1.1939,0.94019,0.389,0.423,0.29454,1.82345,2.46131,1.53654,1.83646e-05,1.83646e-05,1.83646e-05
84,282.072,0.5932,0.59684,1.02964,0.93803,0.38787,0.42131,0.29352,1.83031,2.49334,1.54354,1.76107e-05,1.76107e-05,1.76107e-05
85,285.069,0.62382,0.78822,1.14761,0.93803,0.38787,0.42131,0.29352,1.83031,2.49334,1.54354,1.68333e-05,1.68333e-05,1.68333e-05
86,288.027,0.85924,0.84144,1.13925,0.93803,0.38787,0.42131,0.29352,1.83031,2.49334,1.54354,1.60323e-05,1.60323e-05,1.60323e-05
87,291.282,0.66302,0.78288,1.01909,0.93803,0.38787,0.42131,0.29352,1.83031,2.49334,1.54354,1.52077e-05,1.52077e-05,1.52077e-05
88,294.675,0.78606,0.83963,1.38307,0.9384,0.38717,0.42039,0.29351,1.80747,2.51771,1.51556,1.43596e-05,1.43596e-05,1.43596e-05
89,297.565,1.07728,1.03752,1.51188,0.9384,0.38717,0.42039,0.29351,1.80747,2.51771,1.51556,1.34879e-05,1.34879e-05,1.34879e-05
90,301.014,0.58545,0.64994,0.97908,0.9384,0.38717,0.42039,0.29351,1.80747,2.51771,1.51556,1.25927e-05,1.25927e-05,1.25927e-05
